# DONGS Simulation Log
# Started: 20250826-231728
# LLM base: http://192.168.0.10:11434
# Model: llama3:latest
# Note: all creatures died
timestamp	dong_id	age	energy	fitness	gene_max_intel	gene_nn_growth	gene_pref_eat	gene_pref_play	gene_pref_breed	gene_explore_bias	gene_move_scalar	w1_0_0	w1_0_1	w1_0_2	w1_0_3	w1_1_0	w1_1_1	w1_1_2	w1_1_3	w1_2_0	w1_2_1	w1_2_2	w1_2_3	w1_3_0	w1_3_1	w1_3_2	w1_3_3	w1_4_0	w1_4_1	w1_4_2	w1_4_3	w1_5_0	w1_5_1	w1_5_2	w1_5_3	w1_6_0	w1_6_1	w1_6_2	w1_6_3	w1_7_0	w1_7_1	w1_7_2	w1_7_3	b1_0	b1_1	b1_2	b1_3	b1_4	b1_5	b1_6	b1_7	w2_0_0	w2_0_1	w2_0_2	w2_0_3	w2_0_4	w2_0_5	w2_0_6	w2_0_7	w2_1_0	w2_1_1	w2_1_2	w2_1_3	w2_1_4	w2_1_5	w2_1_6	w2_1_7	b2_0	b2_1
23:17:28	DONG0011	0.00	8.00	0.001	1.109	1.076	0.973	1.162	1.398	1.157	1.114	-0.0600	-0.7646	0.1644	0.2394	0.1231	0.4700	0.3582	-0.1199	-0.9942	0.0283	-0.0358	-0.3939	-1.2667	0.2967	-0.3406	-1.1457	0.2302	0.0566	-0.7016	0.4233	0.1477	0.3826	-0.3095	0.5551	-0.5604	0.2366	0.0918	0.2215	-0.4795	0.7713	0.4852	0.7007	1.3002	-1.1223	0.0969	0.0409	0.0225	-0.4592	1.0376	-0.3264	-0.6533	0.3187	0.5239	0.7627	-0.3358	-0.1631	-0.2668	1.3284	-0.6723	0.1227	1.3870	-0.1112	0.4968	0.5246	-0.2098	1.0898	0.0945	-0.7334
23:17:28	DONG0012	0.00	8.00	0.001	0.930	1.025	1.129	1.356	1.371	1.179	1.141	1.2074	-0.3633	0.7461	0.3803	-0.6839	0.0189	0.8479	-0.3844	0.1368	-0.4183	-0.5442	0.9962	-1.1957	0.6270	1.0152	1.5375	-0.0264	0.6263	-0.6200	0.9786	-0.2007	0.0106	-1.0016	0.9070	-0.0375	-0.2987	-0.4104	-0.0235	0.0557	-0.8301	0.5215	-0.2920	0.6731	-1.1272	0.0666	-0.3073	-0.6644	-0.3636	-0.2795	0.5445	-0.3984	-0.6556	-0.2180	-0.4833	0.2527	0.3438	1.1310	1.1874	-0.4656	-0.4250	0.3561	0.3819	-0.6182	0.3802	-0.9439	-0.2998	-0.3319	1.0737
23:17:28	DONG0013	0.00	8.00	0.001	1.011	0.971	0.938	0.955	0.660	1.193	1.109	-1.3343	-0.0994	-0.5002	0.0616	-0.7376	-0.8933	0.0959	-0.0488	-0.3943	0.0832	0.9559	0.7922	-0.3290	0.2448	-1.1818	0.8872	-0.3571	0.2248	-0.5920	-0.2032	0.5038	-0.1890	-0.4094	-0.4835	0.4282	-0.1079	1.1263	-0.5665	-0.5712	0.0198	0.0967	0.0582	0.3400	1.4727	1.0005	-0.5427	0.3927	-0.3161	0.0524	-0.2934	0.8338	-0.5664	0.0666	0.2255	1.0792	0.7085	-1.4119	0.6001	-1.3267	0.3369	0.4203	-1.5152	-0.2319	-0.3558	-0.4604	0.1209	0.3955	-0.1216
23:17:28	DONG0014	0.00	8.00	0.001	0.868	0.932	0.916	0.768	1.163	0.910	1.045	0.7072	-0.7046	0.8653	-1.1906	0.2146	-0.5874	0.2900	-0.4703	-0.0181	-0.9918	0.3124	0.7023	-0.2560	0.1404	-0.6205	-0.1019	0.4085	-0.3723	0.8391	-0.7502	0.3220	0.0749	-0.3314	0.7413	-1.2839	0.6251	0.0702	-0.1243	-1.2058	0.0905	0.1099	0.4887	-0.5368	-0.2523	-0.2031	0.2509	-0.0758	0.9815	0.4878	-0.0782	-0.9551	0.3225	0.1754	0.1675	-0.3676	-0.1932	-0.8455	0.6405	0.5879	0.1091	-1.5908	0.4791	-0.4486	-0.3543	-0.9475	0.7577	0.1744	-0.5475
23:17:28	DONG0015	0.00	8.00	0.001	0.971	1.127	1.245	0.754	1.276	0.971	1.060	0.0658	0.2059	-0.2098	-1.0277	0.1419	0.5893	-1.2215	-0.9334	-0.2475	-0.5406	-0.0446	0.9568	-1.5907	0.2207	-0.1969	-0.1501	-0.1534	0.0625	0.1890	-0.5873	0.1799	-0.0423	-0.0198	-0.6549	0.4202	0.6854	-0.7480	0.7769	0.4295	-0.6743	0.7058	1.2518	1.3685	-0.0215	-0.8233	0.6794	0.5221	0.9422	0.3313	-0.7908	0.7411	0.3307	0.6280	-0.1904	-1.3272	0.4777	-1.4575	-0.0426	1.1685	0.5629	-0.5686	0.4585	0.6200	-1.2081	0.2405	-0.2436	-0.3797	-0.0857
23:17:28	DONG0016	0.00	8.00	0.001	1.198	0.981	1.011	1.198	1.371	1.203	1.076	-0.1045	-0.3545	-0.3583	-0.1943	0.4519	1.0065	-0.1542	0.0132	-0.6168	-0.5642	-0.1394	-0.1660	-0.0499	0.4284	-0.0628	1.3451	-0.7772	0.1664	0.1164	-0.0950	0.0101	-0.2329	-0.3037	-0.3792	-0.3132	0.1112	0.2768	1.7686	-0.3131	-0.0663	0.4598	-0.6161	0.8892	-0.0174	-0.9825	-0.0641	-0.4367	-0.5195	0.1151	-0.5902	0.0827	0.5201	0.6130	0.4779	0.1376	-0.0603	0.3193	0.0746	0.9459	-1.0832	-0.0046	-0.6804	0.6012	-0.2881	0.6510	0.6277	0.4160	0.1865
23:17:28	DONG0017	0.00	8.00	0.001	0.922	1.191	0.764	0.853	0.657	1.302	1.084	-0.5556	0.4334	0.6519	0.0441	-0.5733	0.1775	0.3352	-0.0800	-0.6519	0.3335	0.4099	0.3109	-0.0172	0.7935	0.3868	0.3863	-0.8925	-0.3978	0.0444	0.4221	-0.5151	-0.2821	0.3700	-0.1902	0.6378	-1.1351	0.3752	0.0129	0.0498	0.3212	0.4580	-0.7155	-0.0922	-0.1061	0.3760	0.2180	-0.0129	-0.5409	1.5184	-0.6265	-1.1259	-0.2612	0.6778	-0.2836	-0.5812	0.3604	-0.4195	0.0252	0.8756	-0.3455	-0.2276	0.2123	-1.1544	-0.2457	0.2605	0.0687	0.0440	0.4376
23:17:28	DONG0018	0.00	8.00	0.001	0.907	0.821	0.618	1.113	0.628	1.367	1.049	0.3882	-0.6119	0.8113	0.3615	0.4575	0.3374	0.0937	-0.7445	0.6704	-0.3571	-0.5184	-0.2100	0.6748	0.1154	0.8625	0.4809	-0.5768	-0.9713	0.5039	0.4963	-0.4962	-0.0034	0.7811	0.3584	0.3247	-0.3167	-0.7734	0.6582	-0.6789	-0.2833	1.1463	-0.4669	-0.0037	0.1516	-0.3401	0.1744	0.2922	1.0092	0.5900	0.7098	-0.7096	0.2622	-0.5386	0.6732	-0.8027	-0.4730	-0.1862	0.3643	-0.6298	0.4431	0.3844	0.2150	-0.6612	0.2931	-0.6934	-1.6836	0.3739	0.3058
23:17:28	DONG0019	0.00	8.00	0.001	0.914	1.134	1.215	0.656	0.967	1.369	1.050	0.2608	-0.3153	0.5864	0.0725	-0.5343	-0.2976	0.1456	-0.4974	-0.6175	-0.4669	0.0477	-0.2359	-0.2049	-0.2316	0.3078	0.5099	1.0562	-0.6452	-0.4697	1.1108	0.0261	-0.7716	0.0317	-0.4313	0.2952	0.6269	-0.7501	-0.9483	-0.3015	-0.7212	-0.7219	0.8835	0.6301	1.0661	-0.9078	-0.2332	-0.0521	0.6485	-0.2301	-1.3197	-0.1618	0.4479	-0.4598	0.5973	0.9110	-0.0221	-0.7780	-0.3629	0.6367	-0.4144	0.4542	0.0839	-0.4613	-0.1992	0.7672	0.7147	-0.0136	0.2665
23:17:28	DONG0020	0.00	8.00	0.001	0.943	1.105	1.220	0.647	1.163	1.313	0.980	-0.7399	-0.1035	0.2176	-0.9189	-0.7211	0.0079	0.4993	-0.0829	0.4687	0.0564	-0.5906	-0.6468	-0.6734	-0.9780	0.7221	0.6388	0.6368	-0.1843	0.2964	-0.2951	-0.6599	-0.1846	0.8423	-0.6949	0.6656	-0.6791	0.5017	-1.6015	0.3644	0.4372	-0.7420	0.3831	-0.3477	-0.2167	0.0966	0.4639	0.7485	0.7695	0.8058	0.2133	-0.2597	-0.1205	-0.1550	-0.1650	-0.3956	0.4195	0.0926	1.5935	-1.0174	-0.8366	-0.4145	0.3324	-1.5289	-0.7950	0.0227	0.6286	-1.0940	1.5390
